Date : 2025-03-29 23:51:54
Directory : c:\Users\HP\Documents\Ecommer\EcommercePanel
Total : 1589 files,  198271 codes, 4848 comments, 15965 blanks, all 219084 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\components\inventario\index-inventario                                                                                  |          3 |        321 |         74 |         64 |        459 |
| src\app\components\login                                                                                                        |          3 |        142 |         37 |         40 |        219 |
| src\app\components\productos                                                                                                    |          9 |      1,939 |        241 |        196 |      2,376 |
| src\app\components\productos\create-producto                                                                                    |          3 |        766 |         70 |         33 |        869 |
| src\app\components\productos\edit-producto                                                                                      |          3 |        778 |         82 |         76 |        936 |
| src\app\components\productos\index-producto                                                                                     |          3 |        395 |         89 |         87 |        571 |
| src\app\components\proveedor                                                                                                    |          8 |        414 |         99 |         89 |        602 |
| src\app\components\proveedor\create-proveedor                                                                                   |          4 |        163 |         48 |         37 |        248 |
| src\app\components\proveedor\index-proveedor                                                                                    |          4 |        251 |         51 |         52 |        354 |
| src\app\components\reporte                                                                                                      |          3 |        304 |          0 |         33 |        337 |
| src\app\components\reporte\index-reporte                                                                                        |          3 |        304 |          0 |         33 |        337 |
| src\app\components\roles                                                                                                        |          9 |        536 |        221 |         95 |        852 |
| src\app\components\roles\create-rol                                                                                             |          3 |        186 |         47 |         31 |        264 |
| src\app\components\roles\edit-rol                                                                                               |          3 |        198 |         47 |         31 |        276 |
| src\app\components\roles\index-rol                                                                                              |          3 |        152 |        127 |         33 |        312 |
| src\app\components\sidebar                                                                                                      |          3 |        268 |         41 |         21 |        330 |
| src\app\components\tenent                                                                                                       |          6 |        314 |        134 |         55 |        503 |
| src\app\components\tenent\create-tenent                                                                                         |          3 |        170 |         68 |         27 |        265 |
| src\app\components\tenent\suscripcion                                                                                           |          3 |        144 |         66 |         28 |        238 |
| src\app\components\topbar                                                                                                       |          3 |         64 |         24 |         13 |        101 |
| src\app\components\usuarios                                                                                                     |          9 |        627 |        169 |        101 |        897 |
| src\app\components\usuarios\create-usuario                                                                                      |          3 |        166 |         58 |         31 |        255 |
| src\app\components\usuarios\edit-usuario                                                                                        |          3 |        172 |         58 |         25 |        255 |
| src\app\components\usuarios\index-usuario                                                                                       |          3 |        289 |         53 |         45 |        387 |
| src\app\components\ventas                                                                                                       |          8 |        576 |        100 |        142 |        818 |
| src\app\components\ventas\detalles-ventas                                                                                       |          4 |        317 |         57 |         72 |        446 |
| src\app\components\ventas\index-ventas                                                                                          |          4 |        259 |         43 |         70 |        372 |
| src\app\guards                                                                                                                  |          1 |         23 |          0 |          4 |         27 |
| src\app\services                                                                                                                |          9 |        402 |          0 |        103 |        505 |
| src\assets                                                                                                                      |      1,444 |    174,233 |      2,929 |     14,233 |    191,395 |
| src\assets\css                                                                                                                  |          5 |     43,704 |         46 |      7,719 |     51,469 |
| src\assets\js                                                                                                                   |        209 |      6,900 |        588 |      1,094 |      8,582 |
| src\assets\js (Files)                                                                                                           |          6 |      6,472 |        529 |      1,041 |      8,042 |
| src\assets\js\custom                                                                                                            |        203 |        428 |         59 |         53 |        540 |
| src\assets\js\custom (Files)                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\account                                                                                                    |          9 |          9 |          0 |          0 |          9 |
| src\assets\js\custom\account\api-keys                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\account\orders                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\account\referrals                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\account\security                                                                                           |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\account\settings                                                                                           |          4 |          4 |          0 |          0 |          4 |
| src\assets\js\custom\apps                                                                                                       |         52 |         52 |          0 |          0 |         52 |
| src\assets\js\custom\apps\calendar                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\chat                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\customers                                                                                             |         10 |         10 |          0 |          0 |         10 |
| src\assets\js\custom\apps\customers (Files)                                                                                     |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\apps\customers\list                                                                                        |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\apps\customers\view                                                                                        |          6 |          6 |          0 |          0 |          6 |
| src\assets\js\custom\apps\ecommerce                                                                                             |          4 |          4 |          0 |          0 |          4 |
| src\assets\js\custom\apps\ecommerce\catalog                                                                                     |          4 |          4 |          0 |          0 |          4 |
| src\assets\js\custom\apps\file-manager                                                                                          |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\apps\inbox                                                                                                 |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\apps\invoices                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\projects                                                                                              |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\apps\projects\list                                                                                         |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\projects\project                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\projects\settings                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\projects\targets                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\projects\users                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\subscriptions                                                                                         |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\apps\subscriptions\add                                                                                     |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\apps\subscriptions\list                                                                                    |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\apps\support-center                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\support-center\tickets                                                                                |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\apps\user-management                                                                                       |         19 |         19 |          0 |          0 |         19 |
| src\assets\js\custom\apps\user-management\permissions                                                                           |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\apps\user-management\roles                                                                                 |          4 |          4 |          0 |          0 |          4 |
| src\assets\js\custom\apps\user-management\roles\list                                                                            |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\apps\user-management\roles\view                                                                            |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\apps\user-management\users                                                                                 |         12 |         12 |          0 |          0 |         12 |
| src\assets\js\custom\apps\user-management\users\list                                                                            |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\apps\user-management\users\view                                                                            |          9 |          9 |          0 |          0 |          9 |
| src\assets\js\custom\authentication                                                                                             |          7 |          7 |          0 |          0 |          7 |
| src\assets\js\custom\authentication\password-reset                                                                              |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\authentication\sign-in                                                                                     |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\authentication\sign-up                                                                                     |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation                                                                                              |         91 |         91 |          0 |          0 |         91 |
| src\assets\js\custom\documentation (Files)                                                                                      |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\documentation\base                                                                                         |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation\charts                                                                                       |         15 |         15 |          0 |          0 |         15 |
| src\assets\js\custom\documentation\charts (Files)                                                                               |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\documentation\charts\amcharts                                                                              |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation\charts\flotcharts                                                                            |          7 |          7 |          0 |          0 |          7 |
| src\assets\js\custom\documentation\charts\google-charts                                                                         |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation\editors                                                                                      |         10 |         10 |          0 |          0 |         10 |
| src\assets\js\custom\documentation\editors\ckeditor                                                                             |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\documentation\editors\quill                                                                                |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\documentation\editors\tinymce                                                                              |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation\forms                                                                                        |         19 |         19 |          0 |          0 |         19 |
| src\assets\js\custom\documentation\forms (Files)                                                                                |         14 |         14 |          0 |          0 |         14 |
| src\assets\js\custom\documentation\forms\formrepeater                                                                           |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation\forms\formvalidation                                                                         |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\documentation\general                                                                                      |         42 |         42 |          0 |          0 |         42 |
| src\assets\js\custom\documentation\general (Files)                                                                              |          8 |          8 |          0 |          0 |          8 |
| src\assets\js\custom\documentation\general\datatables                                                                           |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\documentation\general\draggable                                                                            |          4 |          4 |          0 |          0 |          4 |
| src\assets\js\custom\documentation\general\fullcalendar                                                                         |          6 |          6 |          0 |          0 |          6 |
| src\assets\js\custom\documentation\general\jkanban                                                                              |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\documentation\general\jstree                                                                               |          6 |          6 |          0 |          0 |          6 |
| src\assets\js\custom\documentation\general\search                                                                               |          3 |          3 |          0 |          0 |          3 |
| src\assets\js\custom\documentation\general\vis-timeline                                                                         |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\layout-builder                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\modals                                                                                                     |         26 |         25 |          0 |          1 |         26 |
| src\assets\js\custom\modals (Files)                                                                                             |         13 |         12 |          0 |          1 |         13 |
| src\assets\js\custom\modals\create-project                                                                                      |          8 |          8 |          0 |          0 |          8 |
| src\assets\js\custom\modals\offer-a-deal                                                                                        |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\pages                                                                                                      |         14 |        240 |         59 |         52 |        351 |
| src\assets\js\custom\pages\careers                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\company                                                                                              |          2 |        199 |         43 |         40 |        282 |
| src\assets\js\custom\pages\general                                                                                              |          2 |          2 |          0 |          0 |          2 |
| src\assets\js\custom\pages\pricing                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\profile                                                                                              |          2 |         31 |         16 |         12 |         59 |
| src\assets\js\custom\pages\projects                                                                                             |          5 |          5 |          0 |          0 |          5 |
| src\assets\js\custom\pages\projects\list                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\projects\project                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\projects\settings                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\projects\targets                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\projects\users                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src\assets\js\custom\pages\search                                                                                               |          1 |          1 |          0 |          0 |          1 |
| src\assets\media                                                                                                                |      1,001 |     22,881 |        325 |        853 |     24,059 |
| src\assets\media\flags                                                                                                          |        261 |     13,857 |        261 |        276 |     14,394 |
| src\assets\media\icons                                                                                                          |        367 |      1,555 |          0 |        359 |      1,914 |
| src\assets\media\icons\duotune                                                                                                  |        367 |      1,555 |          0 |        359 |      1,914 |
| src\assets\media\icons\duotune\abstract                                                                                         |         52 |        195 |          0 |         49 |        244 |
| src\assets\media\icons\duotune\arrows                                                                                           |         94 |        375 |          0 |         91 |        466 |
| src\assets\media\icons\duotune\art                                                                                              |         10 |         40 |          0 |         10 |         50 |
| src\assets\media\icons\duotune\coding                                                                                           |         10 |         41 |          0 |         10 |         51 |
| src\assets\media\icons\duotune\communication                                                                                    |         14 |         60 |          0 |         14 |         74 |
| src\assets\media\icons\duotune\ecommerce                                                                                        |         11 |         61 |          0 |         11 |         72 |
| src\assets\media\icons\duotune\electronics                                                                                      |         10 |         44 |          0 |         10 |         54 |
| src\assets\media\icons\duotune\files                                                                                            |         25 |        131 |          0 |         25 |        156 |
| src\assets\media\icons\duotune\finance                                                                                          |         10 |         43 |          0 |         10 |         53 |
| src\assets\media\icons\duotune\general                                                                                          |         59 |        267 |          0 |         57 |        324 |
| src\assets\media\icons\duotune\graphs                                                                                           |         12 |         50 |          0 |         12 |         62 |
| src\assets\media\icons\duotune\layouts                                                                                          |         10 |         40 |          0 |         10 |         50 |
| src\assets\media\icons\duotune\maps                                                                                             |         10 |         49 |          0 |         10 |         59 |
| src\assets\media\icons\duotune\medicine                                                                                         |         10 |         40 |          0 |         10 |         50 |
| src\assets\media\icons\duotune\social                                                                                           |         10 |         41 |          0 |         10 |         51 |
| src\assets\media\icons\duotune\technology                                                                                       |         10 |         41 |          0 |         10 |         51 |
| src\assets\media\icons\duotune\text                                                                                             |         10 |         37 |          0 |         10 |         47 |
| src\assets\media\logos                                                                                                          |          7 |        139 |          0 |          7 |        146 |
| src\assets\media\svg                                                                                                            |        366 |      7,330 |         64 |        211 |      7,605 |
| src\assets\media\svg\avatars                                                                                                    |         50 |      5,180 |         50 |         50 |      5,280 |
| src\assets\media\svg\brand-logos                                                                                                |        235 |      1,041 |         11 |         83 |      1,135 |
| src\assets\media\svg\card-logos                                                                                                 |          6 |         86 |          0 |          6 |         92 |
| src\assets\media\svg\card-logos (Files)                                                                                         |          3 |         50 |          0 |          3 |         53 |
| src\assets\media\svg\card-logos\dark                                                                                            |          3 |         36 |          0 |          3 |         39 |
| src\assets\media\svg\files                                                                                                      |         20 |        187 |          0 |         20 |        207 |
| src\assets\media\svg\files (Files)                                                                                              |         11 |        103 |          0 |         11 |        114 |
| src\assets\media\svg\files\dark                                                                                                 |          9 |         84 |          0 |          9 |         93 |
| src\assets\media\svg\general                                                                                                    |          1 |         32 |          0 |          1 |         33 |
| src\assets\media\svg\humans                                                                                                     |          1 |         10 |          0 |          1 |         11 |
| src\assets\media\svg\illustrations                                                                                              |         11 |        219 |          0 |         11 |        230 |
| src\assets\media\svg\illustrations (Files)                                                                                      |          1 |         50 |          0 |          1 |         51 |
| src\assets\media\svg\illustrations\easy                                                                                         |          9 |         82 |          0 |          9 |         91 |
| src\assets\media\svg\illustrations\sigma                                                                                        |          1 |         87 |          0 |          1 |         88 |
| src\assets\media\svg\misc                                                                                                       |         11 |        205 |          3 |          8 |        216 |
| src\assets\media\svg\payment-methods                                                                                            |          4 |         45 |          0 |          4 |         49 |
| src\assets\media\svg\products-categories                                                                                        |          5 |        101 |          0 |          5 |        106 |
| src\assets\media\svg\shapes                                                                                                     |         15 |        171 |          0 |         15 |        186 |
| src\assets\media\svg\social-logos                                                                                               |          7 |         53 |          0 |          7 |         60 |
| src\assets\plugins                                                                                                              |        229 |    100,748 |      1,970 |      4,567 |    107,285 |
| src\assets\plugins\custom                                                                                                       |        214 |     61,322 |      1,783 |      2,145 |     65,250 |
| src\assets\plugins\custom\ckeditor                                                                                              |          5 |          5 |         20 |          0 |         25 |
| src\assets\plugins\custom\cookiealert                                                                                           |          4 |         31 |          5 |          6 |         42 |
| src\assets\plugins\custom\cropper                                                                                               |          4 |        257 |         34 |         44 |        335 |
| src\assets\plugins\custom\datatables                                                                                            |          3 |         22 |         86 |          0 |        108 |
| src\assets\plugins\custom\draggable                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src\assets\plugins\custom\flotcharts                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\assets\plugins\custom\formrepeater                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src\assets\plugins\custom\fslightbox                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\assets\plugins\custom\fullcalendar                                                                                          |          3 |          4 |         18 |          0 |         22 |
| src\assets\plugins\custom\jkanban                                                                                               |          4 |          4 |          0 |          2 |          6 |
| src\assets\plugins\custom\jstree                                                                                                |          4 |      1,096 |         78 |          3 |      1,177 |
| src\assets\plugins\custom\leaflet                                                                                               |          4 |        568 |         32 |         57 |        657 |
| src\assets\plugins\custom\prismjs                                                                                               |          4 |        157 |         15 |         38 |        210 |
| src\assets\plugins\custom\tiny-slider                                                                                           |          1 |      2,859 |        438 |        668 |      3,965 |
| src\assets\plugins\custom\tinymce                                                                                               |        169 |     55,300 |        974 |      1,163 |     57,437 |
| src\assets\plugins\custom\tinymce (Files)                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src\assets\plugins\custom\tinymce\plugins                                                                                       |        136 |     55,267 |        974 |      1,163 |     57,404 |
| src\assets\plugins\custom\tinymce\plugins\advlist                                                                               |          3 |        243 |         22 |         13 |        278 |
| src\assets\plugins\custom\tinymce\plugins\anchor                                                                                |          3 |        196 |         22 |         15 |        233 |
| src\assets\plugins\custom\tinymce\plugins\autolink                                                                              |          3 |        192 |         22 |         10 |        224 |
| src\assets\plugins\custom\tinymce\plugins\autoresize                                                                            |          3 |        166 |         22 |         13 |        201 |
| src\assets\plugins\custom\tinymce\plugins\autosave                                                                              |          3 |        190 |         22 |         17 |        229 |
| src\assets\plugins\custom\tinymce\plugins\bbcode                                                                                |          3 |         87 |         22 |          7 |        116 |
| src\assets\plugins\custom\tinymce\plugins\charmap                                                                               |          3 |      1,667 |         22 |         24 |      1,713 |
| src\assets\plugins\custom\tinymce\plugins\code                                                                                  |          3 |         77 |         22 |          9 |        108 |
| src\assets\plugins\custom\tinymce\plugins\codesample                                                                            |          3 |      2,313 |         22 |         21 |      2,356 |
| src\assets\plugins\custom\tinymce\plugins\colorpicker                                                                           |          3 |         11 |         22 |          5 |         38 |
| src\assets\plugins\custom\tinymce\plugins\contextmenu                                                                           |          3 |         11 |         22 |          5 |         38 |
| src\assets\plugins\custom\tinymce\plugins\directionality                                                                        |          3 |        420 |         22 |         28 |        470 |
| src\assets\plugins\custom\tinymce\plugins\emoticons                                                                             |          7 |     19,449 |         28 |         28 |     19,505 |
