Date : 2025-03-29 23:51:54
Directory : c:\Users\HP\Documents\Ecommer\EcommercePanel
Total : 1589 files,  198271 codes, 4848 comments, 15965 blanks, all 219084 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\tonga.svg                                                   | XML                |         36 |          1 |          1 |         38 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\transnistria.svg                                            | XML                |         35 |          1 |          1 |         37 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\trinidad-and-tobago.svg                                     | XML                |         39 |          1 |          1 |         41 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\tunisia.svg                                                 | XML                |         39 |          1 |          1 |         41 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\turkey.svg                                                  | XML                |         45 |          1 |          1 |         47 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\turkmenistan.svg                                            | XML                |         90 |          1 |          1 |         92 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\turks-and-caicos.svg                                        | XML                |         68 |          1 |          1 |         70 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\tuvalu-1.svg                                                | XML                |         67 |          1 |          1 |         69 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\tuvalu.svg                                                  | XML                |         68 |          1 |          1 |         70 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\uganda.svg                                                  | XML                |         48 |          1 |          1 |         50 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\uk.svg                                                      | XML                |         62 |          1 |          1 |         64 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\ukraine.svg                                                 | XML                |         35 |          1 |          1 |         37 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\united-arab-emirates.svg                                    | XML                |         37 |          1 |          1 |         39 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\united-kingdom.svg                                          | XML                |         56 |          1 |          1 |         58 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\united-nations.svg                                          | XML                |         57 |          1 |          1 |         59 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\united-states.svg                                           | XML                |         87 |          1 |          1 |         89 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\uruguay.svg                                                 | XML                |         75 |          1 |          1 |         77 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\uzbekistan.svg                                              | XML                |         57 |          1 |          1 |         59 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\vanuatu.svg                                                 | XML                |         41 |          1 |          1 |         43 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\vatican-city.svg                                            | XML                |         95 |          1 |          1 |         97 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\venezuela.svg                                               | XML                |         48 |          1 |          1 |         50 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\vietnam.svg                                                 | XML                |         35 |          1 |          1 |         37 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\virgin-islands.svg                                          | XML                |         60 |          1 |          1 |         62 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\wales.svg                                                   | XML                |         44 |          1 |          1 |         46 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\yemen.svg                                                   | XML                |         36 |          1 |          1 |         38 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\zambia.svg                                                  | XML                |         41 |          1 |          1 |         43 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\flags\zimbabwe.svg                                                | XML                |         49 |          1 |          1 |         51 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs001.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs002.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs003.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs004.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs005.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs006.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs007.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs008.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs009.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs010.svg                                 | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs011.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs012.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs013.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs014.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs015.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs016.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs017.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs018.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs019.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs020.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs021.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs022.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs023.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs024.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs025.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs026.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs027.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs028.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs029.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs030.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs031.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs032.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs033.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs034.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs035.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs036.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs037.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs038.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs039.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs040.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs041.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs042.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs043.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs044.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs045.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs046.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs047.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs048.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs049.svg                                 | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs050.svg                                 | XML                |          3 |          0 |          0 |          3 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs051.svg                                 | XML                |          3 |          0 |          0 |          3 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\abstract\abs052.svg                                 | XML                |          3 |          0 |          0 |          3 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr001.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr002.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr003.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr004.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr005.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr006.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr007.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr008.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr009.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr010.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr011.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr012.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr013.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr014.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr015.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr016.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr017.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr018.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr019.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr020.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr021.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr022.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr023.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr024.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr025.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr026.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr027.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr028.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr029.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr030.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr031.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr032.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr033.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr034.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr035.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr036.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr037.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr038.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr039.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr040.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr041.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr042.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr043.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr044.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr045.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr046.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr047.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr048.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr049.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr050.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr051.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr052.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr053.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr054.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr055.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr056.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr057.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr058.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr059.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr060.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr061.svg                                   | XML                |          4 |          0 |          2 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr062.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr063.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr064.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr065.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr066.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr067.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr068.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr069.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr070.svg                                   | XML                |          6 |          0 |          1 |          7 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr071.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr072.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr073.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr074.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr075.svg                                   | XML                |          4 |          0 |          0 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr076.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr077.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr078.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr079.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr080.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr081.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr082.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr084.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr085.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr086.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr087.svg                                   | XML                |          4 |          0 |          0 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr088.svg                                   | XML                |          4 |          0 |          0 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr089.svg                                   | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr090.svg                                   | XML                |          3 |          0 |          0 |          3 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr091.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr092.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr093.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr094.svg                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\arrows\arr095.svg                                   | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art001.svg                                      | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art002.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art003.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art004.svg                                      | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art005.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art006.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art007.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art008.svg                                      | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Documents\Ecommer\EcommercePanel\src\assets\media\icons\duotune\art\art009.svg                                      | XML                |          4 |          0 |          1 |          5 |
